Tarih,Bölge,Ülke,Şehir,Ürün Kategorisi,Ürün Adı,Satış Miktarı,Satış Geliri ($),Kâr Marjı (%),Müşteri Segmenti
2023-12-15,Kuzey Amerika,Meksika,Mexico City,Elektronik,Laptop,15,2070,22.07,KOBİ
2023-12-13,Avrupa,Fransa,Paris,Mobilya,Kitaplık,1,154,27.36,Bireysel
2023-01-30,Asya,Hindistan,Mumbai,Elektronik,Telefon,20,9260,12.0,KOBİ
2023-07-07,Afrika,Mısır,Kahire,Elektronik,Kulaklık,9,1476,19.02,KOBİ
2023-11-08,Asya,Çin,Pekin,Elektronik,Telefon,12,3444,10.19,Bireysel
2023-03-01,Kuzey Amerika,Kanada,Toronto,Giyim,Tişört,11,1925,13.77,Kurumsal
2023-04-09,Avrupa,Fransa,Paris,Mobilya,Sandalye,6,642,28.01,Bireysel
2023-03-16,Kuzey Amerika,ABD,New York,Elektronik,Telefon,1,421,23.94,KOBİ
2023-03-06,Asya,Japonya,Tokyo,Giyim,Pantolon,2,728,21.93,KOBİ
2023-07-16,Avrupa,İngiltere,Londra,Mobilya,Masa,12,516,25.93,Kurumsal
2023-02-11,Güney Amerika,Arjantin,Buenos Aires,Giyim,Ayakkabı,4,696,9.29,Kurumsal
2023-12-04,Avrupa,İngiltere,Londra,Elektronik,Telefon,4,1784,20.33,KOBİ
2023-04-18,Kuzey Amerika,Kanada,Toronto,Giyim,Tişört,19,3933,20.59,Bireysel
2023-04-07,Kuzey Amerika,Kanada,Toronto,Giyim,Ayakkabı,2,860,13.94,Bireysel
2023-02-04,Asya,Japonya,Tokyo,Elektronik,Tablet,8,1440,20.65,Bireysel
2023-04-16,Asya,Japonya,Tokyo,Mobilya,Kitaplık,8,3360,15.39,KOBİ
2023-04-21,Asya,Japonya,Tokyo,Giyim,Pantolon,5,930,13.76,Bireysel
2023-09-28,Kuzey Amerika,Kanada,Toronto,Mobilya,Kitaplık,16,5904,7.53,KOBİ
2023-04-10,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Masa,11,1441,28.05,Kurumsal
2023-12-02,Asya,Çin,Pekin,Giyim,Ayakkabı,14,4200,26.89,Kurumsal
2023-08-30,Asya,Japonya,Tokyo,Elektronik,Kulaklık,3,1479,24.62,Bireysel
2023-06-30,Kuzey Amerika,Kanada,Toronto,Elektronik,Kulaklık,6,2316,28.71,Bireysel
2023-05-31,Avrupa,İngiltere,Londra,Elektronik,Laptop,16,4064,5.43,Bireysel
2023-09-15,Avrupa,İngiltere,Londra,Giyim,Ceket,4,892,28.42,Bireysel
2023-10-17,Avrupa,Fransa,Paris,Giyim,Ceket,8,1968,17.18,Bireysel
2023-05-24,Kuzey Amerika,Meksika,Mexico City,Giyim,Pantolon,9,4338,26.38,Bireysel
2023-09-13,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Sandalye,18,270,6.47,Kurumsal
2023-08-19,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Tablet,4,996,15.73,Kurumsal
2023-05-02,Kuzey Amerika,Meksika,Mexico City,Giyim,Ayakkabı,3,1140,11.07,Bireysel
2023-08-27,Afrika,Nijerya,Lagos,Elektronik,Laptop,17,289,8.49,KOBİ
2023-09-07,Afrika,Nijerya,Lagos,Giyim,Tişört,18,7272,18.72,Kurumsal
2023-04-29,Kuzey Amerika,Kanada,Toronto,Mobilya,Sandalye,14,4410,27.75,Kurumsal
2023-09-01,Asya,Çin,Pekin,Elektronik,Laptop,7,1022,16.06,Kurumsal
2023-01-13,Güney Amerika,Brezilya,Sao Paulo,Giyim,Tişört,8,632,27.38,Kurumsal
2023-12-15,Avrupa,İngiltere,Londra,Giyim,Ayakkabı,10,1710,29.56,Kurumsal
2023-05-24,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ayakkabı,4,1700,9.32,Bireysel
2023-04-13,Asya,Çin,Pekin,Mobilya,Kitaplık,9,1143,26.72,Bireysel
2023-04-04,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Kitaplık,17,3961,12.81,Kurumsal
2023-08-20,Kuzey Amerika,Meksika,Mexico City,Mobilya,Masa,20,8560,5.6,Bireysel
2023-07-11,Kuzey Amerika,ABD,New York,Elektronik,Telefon,13,4186,18.26,Bireysel
2023-10-12,Asya,Çin,Pekin,Elektronik,Laptop,8,616,11.91,Kurumsal
2023-12-04,Asya,Hindistan,Mumbai,Mobilya,Dolap,18,7686,21.77,Bireysel
2023-11-10,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Kitaplık,12,1800,5.68,KOBİ
2023-06-20,Kuzey Amerika,Meksika,Mexico City,Elektronik,Kulaklık,14,6258,8.84,KOBİ
2023-11-28,Kuzey Amerika,Kanada,Toronto,Elektronik,Laptop,11,561,16.26,Bireysel
2023-08-31,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Laptop,15,7095,5.15,Bireysel
2023-10-02,Asya,Japonya,Tokyo,Mobilya,Kitaplık,7,3409,28.69,Kurumsal
2023-11-01,Güney Amerika,Şili,Santiago,Elektronik,Telefon,5,1210,12.41,Kurumsal
2023-11-17,Güney Amerika,Şili,Santiago,Giyim,Ayakkabı,17,3723,10.65,Kurumsal
2023-06-27,Asya,Çin,Pekin,Giyim,Pantolon,6,1362,18.62,KOBİ
2023-03-13,Asya,Japonya,Tokyo,Giyim,Pantolon,20,1180,15.03,KOBİ
2023-12-23,Asya,Japonya,Tokyo,Elektronik,Tablet,9,738,8.72,Bireysel
2023-10-09,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ayakkabı,7,1015,24.8,Kurumsal
2023-10-04,Afrika,Mısır,Kahire,Elektronik,Telefon,18,7488,24.3,KOBİ
2023-11-23,Asya,Hindistan,Mumbai,Giyim,Ceket,5,1345,8.86,KOBİ
2023-06-15,Avrupa,Almanya,Berlin,Giyim,Tişört,14,5754,26.7,Kurumsal
2023-01-15,Kuzey Amerika,ABD,New York,Elektronik,Telefon,17,4998,28.26,KOBİ
2023-03-16,Avrupa,Almanya,Berlin,Giyim,Pantolon,7,546,22.74,Kurumsal
2023-11-29,Kuzey Amerika,ABD,New York,Elektronik,Laptop,8,640,16.09,Bireysel
2023-10-10,Kuzey Amerika,Kanada,Toronto,Giyim,Ayakkabı,1,265,29.27,Kurumsal
2023-08-03,Asya,Japonya,Tokyo,Mobilya,Kitaplık,7,3206,23.17,Bireysel
2023-04-16,Avrupa,Fransa,Paris,Mobilya,Masa,2,986,6.09,KOBİ
2023-10-01,Afrika,Güney Afrika,Cape Town,Giyim,Ceket,11,4532,6.21,KOBİ
2023-02-09,Asya,Çin,Pekin,Elektronik,Laptop,10,4680,21.52,Bireysel
2023-03-17,Avrupa,İngiltere,Londra,Elektronik,Tablet,11,4312,27.07,Kurumsal
2023-09-06,Güney Amerika,Arjantin,Buenos Aires,Giyim,Tişört,15,1305,28.5,KOBİ
2023-10-15,Kuzey Amerika,Kanada,Toronto,Elektronik,Telefon,5,1045,9.02,Kurumsal
2023-05-14,Afrika,Güney Afrika,Cape Town,Mobilya,Masa,19,6061,13.41,KOBİ
2023-01-31,Güney Amerika,Brezilya,Sao Paulo,Giyim,Tişört,14,5474,20.92,Kurumsal
2023-08-14,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ceket,14,2086,14.61,KOBİ
2023-04-16,Kuzey Amerika,Meksika,Mexico City,Mobilya,Masa,13,2470,13.5,Bireysel
2023-09-12,Afrika,Nijerya,Lagos,Mobilya,Sandalye,3,1050,15.35,Bireysel
2023-12-26,Avrupa,İngiltere,Londra,Elektronik,Laptop,9,2385,9.34,Bireysel
2023-12-06,Avrupa,Fransa,Paris,Elektronik,Tablet,6,1062,5.39,Kurumsal
2023-06-13,Güney Amerika,Şili,Santiago,Giyim,Pantolon,14,4032,7.38,Bireysel
2023-04-23,Kuzey Amerika,ABD,New York,Giyim,Pantolon,6,1506,11.39,Bireysel
2023-12-14,Kuzey Amerika,ABD,New York,Elektronik,Tablet,3,1473,25.83,Kurumsal
2023-06-04,Asya,Hindistan,Mumbai,Elektronik,Telefon,19,874,11.88,Kurumsal
2023-03-04,Avrupa,Fransa,Paris,Mobilya,Dolap,16,1152,12.37,KOBİ
2023-07-14,Afrika,Nijerya,Lagos,Giyim,Tişört,3,1041,21.61,Kurumsal
2023-05-18,Afrika,Nijerya,Lagos,Elektronik,Laptop,11,1023,8.78,Kurumsal
2023-05-19,Afrika,Güney Afrika,Cape Town,Mobilya,Sandalye,10,910,7.0,Bireysel
2023-05-29,Güney Amerika,Brezilya,Sao Paulo,Giyim,Tişört,13,3588,18.39,Kurumsal
2023-10-05,Güney Amerika,Şili,Santiago,Mobilya,Sandalye,11,1672,14.57,KOBİ
2023-11-13,Güney Amerika,Şili,Santiago,Giyim,Pantolon,20,5820,23.99,Bireysel
2023-12-19,Avrupa,Almanya,Berlin,Elektronik,Tablet,13,4225,17.99,Kurumsal
2023-03-17,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Dolap,16,1824,27.19,Bireysel
2023-04-14,Avrupa,Almanya,Berlin,Elektronik,Kulaklık,5,190,20.4,Bireysel
2023-05-04,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Masa,5,1820,28.94,KOBİ
2023-05-07,Avrupa,Almanya,Berlin,Elektronik,Laptop,6,990,25.93,KOBİ
2023-03-06,Avrupa,İngiltere,Londra,Elektronik,Tablet,15,4245,9.96,Kurumsal
2023-01-10,Avrupa,İngiltere,Londra,Mobilya,Kitaplık,7,2149,21.65,Bireysel
2023-09-07,Afrika,Nijerya,Lagos,Mobilya,Kitaplık,4,1320,13.86,KOBİ
2023-09-17,Asya,Çin,Pekin,Giyim,Ceket,12,2688,8.12,Bireysel
2023-12-25,Avrupa,Almanya,Berlin,Giyim,Pantolon,2,142,22.0,Kurumsal
2023-03-22,Avrupa,Almanya,Berlin,Elektronik,Tablet,10,2650,22.59,KOBİ
2023-02-22,Güney Amerika,Şili,Santiago,Elektronik,Tablet,3,417,17.43,Bireysel
2023-11-10,Kuzey Amerika,Kanada,Toronto,Elektronik,Tablet,13,3081,25.99,KOBİ
2023-02-01,Avrupa,Almanya,Berlin,Giyim,Ayakkabı,3,666,11.93,Kurumsal
2023-07-20,Güney Amerika,Arjantin,Buenos Aires,Giyim,Pantolon,3,45,10.57,KOBİ
2023-05-11,Afrika,Güney Afrika,Cape Town,Elektronik,Tablet,3,408,26.59,Kurumsal
2023-01-11,Asya,Japonya,Tokyo,Mobilya,Masa,18,792,21.66,Bireysel
2023-09-01,Afrika,Nijerya,Lagos,Mobilya,Kitaplık,15,5880,27.09,Bireysel
2023-12-23,Asya,Hindistan,Mumbai,Giyim,Tişört,2,902,17.64,Kurumsal
2023-03-22,Kuzey Amerika,ABD,New York,Mobilya,Sandalye,1,358,16.2,KOBİ
2023-08-07,Afrika,Güney Afrika,Cape Town,Elektronik,Tablet,5,1310,25.59,Kurumsal
2023-10-09,Avrupa,Fransa,Paris,Mobilya,Masa,20,1280,13.08,Bireysel
2023-10-18,Afrika,Güney Afrika,Cape Town,Elektronik,Tablet,7,2429,6.51,KOBİ
2023-07-18,Kuzey Amerika,Kanada,Toronto,Elektronik,Laptop,11,2266,16.48,Kurumsal
2023-04-22,Kuzey Amerika,Kanada,Toronto,Elektronik,Tablet,14,4998,16.85,Bireysel
2023-03-03,Asya,Çin,Pekin,Mobilya,Kitaplık,10,4090,9.73,Bireysel
2023-02-12,Afrika,Güney Afrika,Cape Town,Giyim,Pantolon,13,299,19.6,Kurumsal
2023-12-03,Kuzey Amerika,Kanada,Toronto,Mobilya,Dolap,9,3132,24.5,Bireysel
2023-08-21,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Tablet,6,1614,29.11,KOBİ
2023-05-01,Asya,Japonya,Tokyo,Elektronik,Kulaklık,1,338,10.1,Bireysel
2023-10-28,Kuzey Amerika,Kanada,Toronto,Elektronik,Laptop,1,127,8.35,KOBİ
2023-09-06,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Telefon,13,6461,12.75,Kurumsal
2023-10-20,Asya,Japonya,Tokyo,Mobilya,Kitaplık,16,3824,28.64,KOBİ
2024-01-01,Kuzey Amerika,Meksika,Mexico City,Mobilya,Dolap,4,896,21.08,Kurumsal
2023-02-23,Asya,Japonya,Tokyo,Mobilya,Masa,4,216,6.82,Bireysel
2023-01-18,Avrupa,İngiltere,Londra,Mobilya,Masa,2,884,10.84,KOBİ
2023-05-13,Asya,Hindistan,Mumbai,Mobilya,Masa,2,670,27.62,Kurumsal
2023-11-07,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Dolap,1,10,29.81,Kurumsal
2023-12-31,Asya,Hindistan,Mumbai,Giyim,Tişört,20,220,10.41,KOBİ
2023-04-29,Asya,Hindistan,Mumbai,Giyim,Ayakkabı,5,2125,17.94,KOBİ
2023-10-15,Avrupa,Fransa,Paris,Elektronik,Kulaklık,11,275,24.4,Kurumsal
2023-09-06,Afrika,Nijerya,Lagos,Mobilya,Sandalye,10,2860,7.06,KOBİ
2023-07-03,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Sandalye,9,531,9.75,KOBİ
2023-01-31,Asya,Hindistan,Mumbai,Elektronik,Kulaklık,19,6726,11.83,Kurumsal
2023-02-17,Kuzey Amerika,ABD,New York,Giyim,Pantolon,9,234,9.51,Kurumsal
2023-09-05,Güney Amerika,Şili,Santiago,Giyim,Pantolon,13,1287,10.23,Bireysel
2023-03-05,Afrika,Güney Afrika,Cape Town,Giyim,Tişört,19,9196,15.83,Kurumsal
2023-12-08,Kuzey Amerika,Kanada,Toronto,Elektronik,Kulaklık,7,756,29.87,Kurumsal
2023-09-16,Kuzey Amerika,Meksika,Mexico City,Mobilya,Sandalye,1,71,10.17,KOBİ
2023-01-19,Güney Amerika,Şili,Santiago,Elektronik,Kulaklık,12,3984,29.17,Bireysel
2023-10-12,Kuzey Amerika,Meksika,Mexico City,Elektronik,Tablet,10,1540,6.48,Kurumsal
2023-07-29,Kuzey Amerika,ABD,New York,Mobilya,Dolap,14,4690,18.69,Bireysel
2023-03-21,Avrupa,İngiltere,Londra,Elektronik,Tablet,7,1603,10.21,Bireysel
2023-07-26,Kuzey Amerika,Kanada,Toronto,Mobilya,Kitaplık,3,510,24.98,Kurumsal
2023-06-15,Kuzey Amerika,ABD,New York,Elektronik,Tablet,5,645,19.53,Kurumsal
2023-03-14,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Tablet,8,344,12.68,KOBİ
2023-02-27,Avrupa,Fransa,Paris,Giyim,Tişört,7,1106,10.34,Kurumsal
2023-05-24,Kuzey Amerika,Meksika,Mexico City,Mobilya,Kitaplık,18,7362,23.3,Bireysel
2023-01-15,Afrika,Nijerya,Lagos,Giyim,Ceket,5,1165,6.27,Bireysel
2023-02-03,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Sandalye,16,3296,27.43,KOBİ
2023-01-13,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Dolap,12,384,22.6,Kurumsal
2023-11-17,Güney Amerika,Brezilya,Sao Paulo,Giyim,Pantolon,9,1539,7.0,KOBİ
2023-09-23,Avrupa,Fransa,Paris,Giyim,Pantolon,10,870,23.23,Bireysel
2023-10-02,Asya,Çin,Pekin,Elektronik,Telefon,15,5145,9.16,Kurumsal
2023-07-17,Avrupa,Fransa,Paris,Giyim,Ceket,20,2640,23.79,Kurumsal
2023-02-27,Avrupa,İngiltere,Londra,Elektronik,Telefon,10,3480,23.8,KOBİ
2023-07-25,Asya,Hindistan,Mumbai,Mobilya,Sandalye,6,1152,13.01,Bireysel
2023-06-22,Kuzey Amerika,Kanada,Toronto,Mobilya,Kitaplık,14,1302,6.78,Kurumsal
2023-07-16,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ayakkabı,13,1989,27.88,Kurumsal
2023-03-14,Avrupa,İngiltere,Londra,Giyim,Pantolon,10,140,20.19,Bireysel
2023-02-26,Afrika,Güney Afrika,Cape Town,Elektronik,Laptop,8,1968,14.46,Bireysel
2023-07-10,Asya,Japonya,Tokyo,Elektronik,Kulaklık,14,350,21.62,KOBİ
2023-04-04,Kuzey Amerika,ABD,New York,Giyim,Ayakkabı,8,1728,27.0,Kurumsal
2023-01-08,Avrupa,Almanya,Berlin,Mobilya,Sandalye,18,8586,6.19,Bireysel
2023-05-19,Asya,Japonya,Tokyo,Giyim,Tişört,7,728,23.03,Bireysel
2023-08-28,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Kitaplık,4,1788,19.03,KOBİ
2023-06-12,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Masa,1,454,8.59,Kurumsal
2023-12-22,Güney Amerika,Şili,Santiago,Mobilya,Masa,8,3640,26.26,Bireysel
2023-11-23,Kuzey Amerika,Meksika,Mexico City,Mobilya,Kitaplık,20,7760,29.51,Bireysel
2023-03-10,Afrika,Mısır,Kahire,Mobilya,Kitaplık,18,414,22.05,Bireysel
2023-12-25,Asya,Japonya,Tokyo,Giyim,Pantolon,15,4500,5.78,Kurumsal
2023-06-03,Afrika,Mısır,Kahire,Elektronik,Tablet,6,2724,14.72,KOBİ
2023-06-24,Avrupa,Almanya,Berlin,Mobilya,Dolap,11,1837,5.78,Bireysel
2023-09-15,Avrupa,İngiltere,Londra,Mobilya,Sandalye,15,5790,22.14,Kurumsal
2023-04-21,Afrika,Güney Afrika,Cape Town,Mobilya,Masa,20,3620,9.64,Bireysel
2023-01-07,Avrupa,Fransa,Paris,Mobilya,Kitaplık,5,650,24.13,Bireysel
2023-10-13,Asya,Çin,Pekin,Elektronik,Tablet,15,2715,27.13,Bireysel
2023-08-10,Kuzey Amerika,Meksika,Mexico City,Mobilya,Sandalye,20,4900,20.17,Kurumsal
2023-03-16,Asya,Japonya,Tokyo,Elektronik,Tablet,6,348,6.09,Kurumsal
2023-05-12,Avrupa,Almanya,Berlin,Elektronik,Kulaklık,16,6384,29.08,KOBİ
2023-08-10,Kuzey Amerika,ABD,New York,Giyim,Tişört,13,1729,23.81,KOBİ
2023-05-05,Kuzey Amerika,Kanada,Toronto,Mobilya,Dolap,14,6692,27.76,Bireysel
2023-04-07,Asya,Japonya,Tokyo,Elektronik,Telefon,8,1840,28.02,Bireysel
2023-12-14,Afrika,Güney Afrika,Cape Town,Elektronik,Laptop,3,123,24.83,Bireysel
2023-11-07,Afrika,Mısır,Kahire,Giyim,Ceket,2,758,23.0,KOBİ
2023-07-03,Asya,Çin,Pekin,Giyim,Tişört,4,960,12.54,KOBİ
2023-03-02,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ceket,7,2548,25.55,Kurumsal
2023-05-24,Kuzey Amerika,Kanada,Toronto,Mobilya,Masa,16,480,23.84,Kurumsal
2023-08-23,Kuzey Amerika,Meksika,Mexico City,Elektronik,Kulaklık,6,672,25.62,Kurumsal
2023-08-03,Afrika,Güney Afrika,Cape Town,Mobilya,Masa,1,100,20.85,KOBİ
2023-09-19,Asya,Hindistan,Mumbai,Mobilya,Dolap,7,2520,20.52,KOBİ
2023-03-11,Kuzey Amerika,Meksika,Mexico City,Giyim,Ceket,19,1710,11.95,Kurumsal
2023-02-26,Kuzey Amerika,ABD,New York,Giyim,Ceket,19,8018,12.78,KOBİ
2023-07-30,Afrika,Güney Afrika,Cape Town,Giyim,Ceket,7,3388,14.83,Bireysel
2023-06-04,Güney Amerika,Arjantin,Buenos Aires,Giyim,Ayakkabı,19,1273,17.06,KOBİ
2023-08-10,Kuzey Amerika,Kanada,Toronto,Mobilya,Masa,11,2068,22.62,Bireysel
2023-06-13,Afrika,Nijerya,Lagos,Giyim,Pantolon,10,1550,12.48,Kurumsal
2023-05-09,Kuzey Amerika,ABD,New York,Elektronik,Laptop,12,2424,18.35,Bireysel
2023-05-15,Asya,Japonya,Tokyo,Elektronik,Telefon,4,744,9.19,KOBİ
2023-01-19,Kuzey Amerika,Kanada,Toronto,Giyim,Ceket,1,63,18.81,Kurumsal
2023-04-14,Asya,Çin,Pekin,Mobilya,Dolap,16,1936,11.12,KOBİ
2023-02-14,Avrupa,Fransa,Paris,Elektronik,Laptop,19,2318,11.74,Bireysel
2023-03-09,Afrika,Nijerya,Lagos,Giyim,Ayakkabı,11,4488,8.54,Kurumsal
2023-09-09,Asya,Hindistan,Mumbai,Giyim,Ceket,17,1683,28.85,Bireysel
2023-08-15,Asya,Çin,Pekin,Giyim,Ayakkabı,8,2712,17.37,KOBİ
2023-08-11,Afrika,Güney Afrika,Cape Town,Mobilya,Dolap,4,1168,23.5,KOBİ
2023-09-02,Afrika,Güney Afrika,Cape Town,Mobilya,Masa,2,826,25.39,Kurumsal
2023-01-25,Kuzey Amerika,ABD,New York,Giyim,Tişört,5,390,11.73,Bireysel
2023-08-16,Afrika,Mısır,Kahire,Giyim,Tişört,9,4347,24.97,Bireysel
2023-01-03,Avrupa,İngiltere,Londra,Giyim,Ceket,17,4012,15.55,KOBİ
2023-06-19,Afrika,Güney Afrika,Cape Town,Elektronik,Laptop,11,4565,7.26,Kurumsal
2023-09-01,Asya,Japonya,Tokyo,Elektronik,Kulaklık,2,462,13.03,Bireysel
2023-10-07,Kuzey Amerika,ABD,New York,Elektronik,Telefon,20,5060,28.43,Bireysel
2023-09-25,Güney Amerika,Arjantin,Buenos Aires,Elektronik,Tablet,9,864,17.05,Bireysel
2023-06-27,Asya,Hindistan,Mumbai,Elektronik,Kulaklık,12,1128,27.33,Kurumsal
2023-01-23,Afrika,Güney Afrika,Cape Town,Elektronik,Telefon,20,6920,17.59,Bireysel
2023-10-08,Avrupa,İngiltere,Londra,Elektronik,Kulaklık,18,3762,17.48,Kurumsal
2023-05-04,Kuzey Amerika,Kanada,Toronto,Mobilya,Dolap,18,4680,14.94,KOBİ
2023-06-29,Avrupa,Almanya,Berlin,Mobilya,Sandalye,13,1222,20.4,KOBİ
2023-08-03,Kuzey Amerika,Kanada,Toronto,Mobilya,Masa,11,1353,23.08,Kurumsal
2023-01-31,Avrupa,Fransa,Paris,Elektronik,Kulaklık,19,741,11.74,Kurumsal
2023-09-13,Asya,Çin,Pekin,Elektronik,Tablet,2,42,28.2,Kurumsal
2023-03-05,Asya,Hindistan,Mumbai,Elektronik,Kulaklık,14,5600,13.75,Bireysel
2023-04-09,Güney Amerika,Brezilya,Sao Paulo,Elektronik,Tablet,15,525,26.67,Kurumsal
2023-08-18,Kuzey Amerika,Kanada,Toronto,Elektronik,Laptop,8,1704,29.92,KOBİ
2023-06-04,Güney Amerika,Şili,Santiago,Giyim,Pantolon,12,696,19.02,Kurumsal
2023-03-03,Asya,Japonya,Tokyo,Mobilya,Masa,6,2988,7.0,Kurumsal
2023-12-28,Kuzey Amerika,ABD,New York,Elektronik,Tablet,18,1188,9.52,KOBİ
2023-01-05,Afrika,Güney Afrika,Cape Town,Giyim,Ayakkabı,3,834,29.37,KOBİ
2023-04-01,Avrupa,İngiltere,Londra,Mobilya,Sandalye,15,3855,18.04,Bireysel
2023-10-29,Afrika,Mısır,Kahire,Giyim,Tişört,13,5512,27.97,Kurumsal
2023-04-03,Avrupa,İngiltere,Londra,Elektronik,Laptop,12,4596,19.85,Kurumsal
2023-04-16,Asya,Çin,Pekin,Giyim,Ayakkabı,12,744,28.13,KOBİ
2023-02-05,Asya,Hindistan,Mumbai,Giyim,Pantolon,11,2882,6.63,Kurumsal
2023-01-18,Asya,Hindistan,Mumbai,Giyim,Ayakkabı,7,2597,9.89,Kurumsal
2023-10-24,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Dolap,12,5028,23.34,Kurumsal
2023-12-08,Avrupa,Almanya,Berlin,Giyim,Ayakkabı,19,1672,19.3,KOBİ
2023-02-17,Avrupa,Almanya,Berlin,Mobilya,Masa,2,950,11.78,Bireysel
2023-05-16,Afrika,Güney Afrika,Cape Town,Giyim,Ayakkabı,1,343,11.86,KOBİ
2023-06-29,Afrika,Güney Afrika,Cape Town,Giyim,Pantolon,15,1710,25.48,Kurumsal
2023-04-08,Afrika,Mısır,Kahire,Mobilya,Kitaplık,13,4875,25.82,Kurumsal
2023-11-16,Güney Amerika,Brezilya,Sao Paulo,Giyim,Pantolon,8,1232,25.33,KOBİ
2023-08-14,Afrika,Güney Afrika,Cape Town,Elektronik,Telefon,18,414,29.55,Kurumsal
2023-01-27,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Masa,6,1128,10.62,Bireysel
